GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,tn.backend.isimm.config,WebConfigurer,44,112,9,7,10,28,9,6,2,5
Backend,tn.backend.isimm.config,CRLFLogConverter,0,142,0,14,0,24,0,12,0,5
Backend,tn.backend.isimm.config,JacksonConfiguration,18,0,0,0,4,0,4,0,4,0
Backend,tn.backend.isimm.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Backend,tn.backend.isimm.web.rest,AuthorityResource,93,0,2,0,19,0,6,0,5,0
Backend,tn.backend.isimm.web.rest,AuthenticateController,113,0,2,0,29,0,5,0,4,0
Backend,tn.backend.isimm.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Backend,tn.backend.isimm.web.rest,UserResource,264,0,16,0,42,0,16,0,8,0
Backend,tn.backend.isimm.web.rest,PublicUserResource,84,0,2,0,13,0,5,0,4,0
Backend,tn.backend.isimm.web.rest,AccountResource,197,0,24,0,53,0,23,0,11,0
Backend,tn.backend.isimm.web.rest,AuthenticateController.JWTToken,13,0,0,0,6,0,3,0,3,0
Backend,tn.backend.isimm.aop.logging,LoggingAspect,117,0,10,0,25,0,11,0,6,0
Backend,tn.backend.isimm.web.filter,SpaWebFilter,46,0,12,0,13,0,8,0,2,0
Backend,tn.backend.isimm,BackendApp,149,0,10,0,33,0,11,0,6,0
Backend,tn.backend.isimm,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Backend,tn.backend.isimm.web.rest.errors,InvalidPasswordException,14,0,0,0,7,0,1,0,1,0
Backend,tn.backend.isimm.web.rest.errors,BadRequestAlertException,44,0,0,0,16,0,5,0,5,0
Backend,tn.backend.isimm.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Backend,tn.backend.isimm.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Backend,tn.backend.isimm.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
Backend,tn.backend.isimm.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Backend,tn.backend.isimm.web.rest.errors,ExceptionTranslator,506,0,88,0,89,0,68,0,24,0
Backend,tn.backend.isimm.service.dto,AdminUserDTO,95,95,0,0,31,27,18,11,18,11
Backend,tn.backend.isimm.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Backend,tn.backend.isimm.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Backend,tn.backend.isimm.management,SecurityMetersService,0,57,0,0,0,18,0,6,0,6
Backend,tn.backend.isimm.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Backend,tn.backend.isimm.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Backend,tn.backend.isimm.service,MailService,195,0,2,0,46,0,9,0,8,0
Backend,tn.backend.isimm.service,UserService,631,0,22,0,179,0,40,0,29,0
Backend,tn.backend.isimm.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
